Circuit,Compound,StintLap,AvgDeltaFromFirstLap
Abu Dhabi,HARD,1,0.0
Abu Dhabi,HARD,2,-19.69804347826087
Abu Dhabi,HARD,3,-19.832391304347826
Abu Dhabi,HARD,4,-19.76721739130435
Abu Dhabi,HARD,5,-19.722826086956523
Abu Dhabi,HARD,6,-19.633913043478262
Abu Dhabi,HARD,7,-19.707434782608697
Abu Dhabi,HARD,8,-19.591
Abu Dhabi,HARD,9,-19.753999999999998
Abu Dhabi,HARD,10,-19.728954545454545
Abu Dhabi,HARD,11,-19.76209090909091
Abu Dhabi,HARD,12,-19.727045454545454
Abu Dhabi,HARD,13,-19.90068181818182
Abu Dhabi,HARD,14,-19.814318181818184
Abu Dhabi,HARD,15,-19.81068181818182
Abu Dhabi,HARD,16,-19.809545454545457
Abu Dhabi,HARD,17,-19.78968181818182
Abu Dhabi,HARD,18,-19.679285714285715
Abu Dhabi,HARD,19,-19.61775
Abu Dhabi,HARD,20,-19.555947368421055
Abu Dhabi,HARD,21,-19.518888888888892
Abu Dhabi,HARD,22,-19.589055555555557
Abu Dhabi,HARD,23,-17.75776470588235
Abu Dhabi,HARD,24,-19.127533333333336
Abu Dhabi,HARD,25,-18.813615384615385
Abu Dhabi,HARD,26,-18.866833333333336
Abu Dhabi,HARD,27,-18.38175
Abu Dhabi,HARD,28,-17.859222222222222
Abu Dhabi,HARD,29,-19.2775
Abu Dhabi,HARD,30,-18.953285714285716
Abu Dhabi,HARD,31,-20.913
Abu Dhabi,HARD,32,-20.801166666666663
Abu Dhabi,HARD,33,-21.084833333333336
Abu Dhabi,HARD,34,-20.864800000000002
Abu Dhabi,HARD,35,-20.710199999999997
Abu Dhabi,HARD,36,-20.682800000000004
Abu Dhabi,HARD,37,-20.39775
Abu Dhabi,HARD,38,-20.37266666666667
Abu Dhabi,HARD,39,-20.0265
Abu Dhabi,HARD,40,-18.256
Abu Dhabi,HARD,41,-17.548000000000002
Abu Dhabi,HARD,42,-17.200000000000003
Abu Dhabi,HARD,43,-18.548
Abu Dhabi,MEDIUM,1,0.0
Abu Dhabi,MEDIUM,2,-10.748040000000001
Abu Dhabi,MEDIUM,3,-11.23952
Abu Dhabi,MEDIUM,4,-10.726560000000001
Abu Dhabi,MEDIUM,5,-11.12848
Abu Dhabi,MEDIUM,6,-11.07624
Abu Dhabi,MEDIUM,7,-11.14552
Abu Dhabi,MEDIUM,8,-10.826880000000001
Abu Dhabi,MEDIUM,9,-10.80268
Abu Dhabi,MEDIUM,10,-10.661280000000001
Abu Dhabi,MEDIUM,11,-10.61116
Abu Dhabi,MEDIUM,12,-10.435720000000002
Abu Dhabi,MEDIUM,13,-10.449083333333332
Abu Dhabi,MEDIUM,14,-10.350652173913046
Abu Dhabi,MEDIUM,15,-10.7684
Abu Dhabi,MEDIUM,16,-12.646533333333336
Abu Dhabi,MEDIUM,17,-10.374642857142858
Abu Dhabi,MEDIUM,18,-12.161666666666667
Abu Dhabi,MEDIUM,19,-12.091199999999997
Abu Dhabi,MEDIUM,20,-12.14485714285714
Abu Dhabi,MEDIUM,21,-14.4885
Abu Dhabi,MEDIUM,22,-16.8288
Abu Dhabi,MEDIUM,23,-16.428999999999995
Abu Dhabi,MEDIUM,24,-15.003666666666666
Abu Dhabi,MEDIUM,25,-14.843333333333334
Abu Dhabi,MEDIUM,26,-21.386499999999998
Abu Dhabi,MEDIUM,27,-21.552
Abu Dhabi,MEDIUM,28,-20.286
Abu Dhabi,MEDIUM,29,-19.828999999999997
Abu Dhabi,SOFT,1,0.0
Abu Dhabi,SOFT,2,-16.82133333333333
Abu Dhabi,SOFT,3,-16.906666666666666
Abu Dhabi,SOFT,4,-17.502666666666666
Abu Dhabi,SOFT,5,-17.543666666666667
Abu Dhabi,SOFT,6,-17.224666666666664
Abu Dhabi,SOFT,7,-17.496666666666666
Abu Dhabi,SOFT,8,-17.05966666666667
Abu Dhabi,SOFT,9,-17.73766666666667
Abu Dhabi,SOFT,10,-17.391333333333332
Abu Dhabi,SOFT,11,-17.30666666666667
Abu Dhabi,SOFT,12,-16.439999999999998
Abu Dhabi,SOFT,13,-16.172333333333334
Abu Dhabi,SOFT,14,-12.924
Abu Dhabi,SOFT,15,-19.926
Abu Dhabi,SOFT,16,-19.665000000000006
Abu Dhabi,SOFT,17,-19.105999999999995
Abu Dhabi,SOFT,18,-19.203999999999997
Abu Dhabi,SOFT,19,-19.605000000000004
Abu Dhabi,SOFT,20,-18.964
Australia,HARD,1,0.0
Australia,HARD,2,-6.961355555555556
Australia,HARD,3,-9.358
Australia,HARD,4,-12.269454545454545
Australia,HARD,5,-12.843727272727273
Australia,HARD,6,-10.894595238095238
Australia,HARD,7,-11.663473684210524
Australia,HARD,8,-11.419473684210528
Australia,HARD,9,-2.3102972972972973
Australia,HARD,10,-3.666864864864864
Australia,HARD,11,-12.185972222222222
Australia,HARD,12,-12.243611111111111
Australia,HARD,13,-11.761027777777779
Australia,HARD,14,-9.466222222222221
Australia,HARD,15,-9.839111111111109
Australia,HARD,16,-9.284
Australia,HARD,17,-11.231083333333334
